,word,num
0,来,15
1,闻,15
2,因,14
3,今,13
4,成,12
5,须,11
6,草,11
7,世,11
8,钧,11
9,君,11
10,国,11
11,寒,11
12,江,10
13,乌,10
14,高,10
15,春,10
16,山,10
17,未,10
18,能,10
19,问,10
20,散,9
21,期,9
22,己,9
23,彼,9
24,裁,9
25,刹,9
26,何,9
27,空,9
28,子,9
29,宫,9
30,明,9
31,城,9
32,安,9
33,雨,9
34,坐,9
35,过,9
36,衮,8
37,地,8
38,眼,8
39,银,8
40,唯,8
41,犹,8
42,远,8
43,首,8
44,恩,8
45,楼,8
46,是,8
47,年,8
48,忽,8
49,泉,8
50,敌,8
51,闲,8
52,决,8
53,继,8
54,间,8
55,秋,8
56,龙,8
57,亲,8
58,孤,8
59,醉,8
60,独,8
61,桑,8
62,园,8
63,呜,8
64,知,8
65,乔,8
66,大,8
67,客,8
68,林,7
69,青,7
70,三,7
71,效,7
72,在,7
73,盏,7
74,干,7
75,追,7
76,若,7
77,御,7
78,诗,7
79,午,7
80,白,7
81,惹,7
82,塞,7
83,湖,7
84,杀,7
85,千,7
86,毛,7
87,柱,7
88,容,7
89,徵,7
90,采,7
91,裳,7
92,头,7
93,师,7
94,阁,7
95,户,7
96,意,7
97,谁,7
98,蔗,7
99,牢,7
100,藏,7
101,日,7
102,风,7
103,或,7
104,笼,7
105,舟,7
106,二,7
107,面,7
108,老,7
109,批,7
110,送,7
111,不,7
112,鸟,7
113,徽,7
114,弦,7
115,上,7
116,颈,7
117,皱,7
118,去,7
119,蕊,7
120,威,7
121,有,7
122,回,7
123,残,7
124,而,7
125,木,6
126,柔,6
127,狒,6
128,募,6
129,毂,6
130,句,6
131,满,6
132,抑,6
133,当,6
134,与,6
135,衢,6
136,暮,6
137,鳍,6
138,墼,6
139,还,6
140,蜇,6
141,聋,6
142,完,6
143,尽,6
144,苔,6
145,胸,6
146,据,6
147,睬,6
148,沿,6
149,骒,6
150,辣,6
151,得,6
152,宗,6
153,泌,6
154,刺,6
155,音,6
156,比,6
157,移,6
158,鹞,6
159,锫,6
160,洞,6
161,辩,6
162,灯,6
163,新,6
164,妇,6
165,漂,6
166,烧,6
167,此,6
168,拥,6
169,凤,6
170,偕,6
171,柯,6
172,绩,6
173,隙,6
174,实,6
175,疑,6
176,没,6
177,簿,6
178,钱,6
179,磐,6
180,摧,6
181,廑,6
182,昨,6
183,求,6
184,经,6
185,浮,6
186,闾,6
187,耕,6
188,酸,6
189,撇,6
190,数,6
191,李,6
192,裘,6
193,囵,6
194,鹳,6
195,似,6
196,种,6
197,歌,6
198,颓,6
199,奠,6
200,川,6
201,元,6
202,屋,6
203,胜,6
204,蒙,6
205,旆,6
206,检,6
207,朝,6
208,微,6
209,透,6
210,枯,6
211,鸦,6
212,口,6
213,尝,6
214,蹈,6
215,硵,6
216,发,6
217,案,6
218,准,6
219,蓬,6
220,剃,6
221,内,6
222,盆,6
223,道,6
224,颇,6
225,岷,6
226,赵,6
227,晓,6
228,昝,6
229,丘,6
230,剌,6
231,合,6
232,绣,6
233,背,5
234,撒,5
235,叔,5
